Repetição,Cenário,Método,Data,Real,Estimado
0,Bloco 6 meses,Harmônica + resíduo,2020-04-01,557.2,595.9160785702596
0,Bloco 6 meses,Harmônica + resíduo,2020-05-01,592.6,604.0332343888624
0,Bloco 6 meses,Harmônica + resíduo,2020-06-01,635.0,633.7701040821753
0,Bloco 6 meses,Harmônica + resíduo,2020-07-01,682.4,711.0905159859177
1,Aleatório 10%,Média global,2015-03-01,444.8,580.159493670886
1,Aleatório 10%,Média global,2017-07-01,607.2,580.159493670886
1,Aleatório 10%,Média global,2018-02-01,455.7,580.159493670886
1,Aleatório 10%,Média global,2018-03-01,532.5,580.159493670886
1,Aleatório 10%,Média global,2018-08-01,652.1,580.159493670886
1,Aleatório 10%,Média global,2019-11-01,591.2,580.159493670886
1,Aleatório 10%,Média global,2020-05-01,592.6,580.159493670886
1,Aleatório 10%,Média global,2020-10-01,617.2,580.159493670886
1,Aleatório 10%,Linear,2015-03-01,444.8,400.5
1,Aleatório 10%,Linear,2017-07-01,607.2,561.75
1,Aleatório 10%,Linear,2018-02-01,455.7,525.4200000000001
1,Aleatório 10%,Linear,2018-03-01,532.5,523.5600000000001
1,Aleatório 10%,Linear,2018-08-01,652.1,611.3
1,Aleatório 10%,Linear,2019-11-01,591.2,579.5
1,Aleatório 10%,Linear,2020-05-01,592.6,596.1
1,Aleatório 10%,Linear,2020-10-01,617.2,646.05
1,Aleatório 10%,PCHIP,2015-03-01,444.8,395.22460496613996
1,Aleatório 10%,PCHIP,2017-07-01,607.2,569.5556032306915
1,Aleatório 10%,PCHIP,2018-02-01,455.7,524.9736
1,Aleatório 10%,PCHIP,2018-03-01,532.5,522.6672000000001
1,Aleatório 10%,PCHIP,2018-08-01,652.1,618.8153414970681
1,Aleatório 10%,PCHIP,2019-11-01,591.2,579.3888888888889
1,Aleatório 10%,PCHIP,2020-05-01,592.6,588.35709463618
1,Aleatório 10%,PCHIP,2020-10-01,617.2,645.7298563218391
1,Aleatório 10%,Harmônica log,2015-03-01,444.8,406.7922836215638
1,Aleatório 10%,Harmônica log,2017-07-01,607.2,588.8682645540845
1,Aleatório 10%,Harmônica log,2018-02-01,455.7,478.7894163875857
1,Aleatório 10%,Harmônica log,2018-03-01,532.5,491.64174614544703
1,Aleatório 10%,Harmônica log,2018-08-01,652.1,641.7402649091637
1,Aleatório 10%,Harmônica log,2019-11-01,591.2,615.9568497015789
1,Aleatório 10%,Harmônica log,2020-05-01,592.6,612.4260241297446
1,Aleatório 10%,Harmônica log,2020-10-01,617.2,599.9063190036809
1,Aleatório 10%,Harmônica + resíduo,2015-03-01,444.8,388.8159750619579
1,Aleatório 10%,Harmônica + resíduo,2017-07-01,607.2,584.8532469269486
1,Aleatório 10%,Harmônica + resíduo,2018-02-01,455.7,470.08716801213785
1,Aleatório 10%,Harmônica + resíduo,2018-03-01,532.5,483.3134881762292
1,Aleatório 10%,Harmônica + resíduo,2018-08-01,652.1,655.7144442773267
1,Aleatório 10%,Harmônica + resíduo,2019-11-01,591.2,618.454860295823
1,Aleatório 10%,Harmônica + resíduo,2020-05-01,592.6,587.6926017330015
1,Aleatório 10%,Harmônica + resíduo,2020-10-01,617.2,595.7448453236811
1,Aleatório 20%,Média global,2015-02-01,359.5,576.6514285714287
1,Aleatório 20%,Média global,2017-05-01,496.8,576.6514285714287
1,Aleatório 20%,Média global,2017-09-01,531.7,576.6514285714287
1,Aleatório 20%,Média global,2017-10-01,513.0,576.6514285714287
1,Aleatório 20%,Média global,2018-03-01,532.5,576.6514285714287
1,Aleatório 20%,Média global,2018-04-01,521.7,576.6514285714287
