Repetição,Cenário,Método,N apagado,MAE,RMSE,MAPE (%)
1,Bloco 6 meses,Harmônica log,6,21.659290979014163,27.474417129960848,3.6352451848478275
1,Bloco 6 meses,Harmônica + resíduo,6,41.39302064118519,47.54408650699545,6.994033888346034
2,Aleatório 10%,Média global,8,122.54937500000003,144.35876370284038,16.989851054124337
2,Aleatório 10%,Linear,8,33.781249999999986,38.24669511866352,5.099205386132017
2,Aleatório 10%,PCHIP,8,30.96917287492998,35.11220090742996,4.721659636481918
2,Aleatório 10%,Harmônica log,8,24.786924876794643,30.666576424071796,3.678601974782186
2,Aleatório 10%,Harmônica + resíduo,8,17.19250831644328,30.498466536597466,2.5114956133479374
2,Aleatório 20%,Média global,16,78.75347222222223,89.12864497420722,13.146840962578887
2,Aleatório 20%,Linear,16,25.821874999999995,33.7990458958862,4.177443366217748
2,Aleatório 20%,PCHIP,16,25.642393233248598,33.27914234641618,4.113475964982748
2,Aleatório 20%,Harmônica log,16,25.330509984904747,30.131521907368967,4.220683983974621
2,Aleatório 20%,Harmônica + resíduo,16,30.136560509238002,33.876828554516656,5.040901977260178
2,Bloco 3 meses,Média global,3,177.03764705882347,188.8447734943293,23.02599498978295
2,Bloco 3 meses,Linear,3,17.966666666666697,22.546433568674846,2.3409642466707457
2,Bloco 3 meses,PCHIP,3,5.600000000000023,8.229331749399005,0.6935649605423474
2,Bloco 3 meses,Harmônica log,3,25.505023533825618,25.94792091115085,3.3749337895508815
2,Bloco 3 meses,Harmônica + resíduo,3,25.982220528977148,28.687613980922148,3.4289387506731948
2,Bloco 6 meses,Média global,6,174.26747967479682,191.36235051448324,22.648435999183125
2,Bloco 6 meses,Linear,6,77.61190476190478,96.12959878156553,9.905835607816488
2,Bloco 6 meses,PCHIP,6,77.87074168636177,96.15699902952409,9.94862812709958
2,Bloco 6 meses,Harmônica log,6,30.15320709063832,31.878495859062962,4.190551114510929
2,Bloco 6 meses,Harmônica + resíduo,6,37.39778222929624,53.32705652747147,5.618430941044648
3,Aleatório 10%,Média global,8,113.9078125,121.86118463363346,18.38159649190772
3,Aleatório 10%,Linear,8,22.625,29.0240668813544,3.70576387571646
