data,Série de trabalho,Cópia tratada,Holt,Holt-Winters aditivo,Holt-Winters multiplicativo
2017-07-01,607.2,607.2,528.4515183274111,580.7212819954586,599.0977061308793
2017-08-01,599.1,599.1,531.7695837094642,593.2141418723163,608.8683078990748
2017-09-01,531.7,531.7,535.0876489213748,530.2013958139114,534.5715747326773
2017-10-01,513.0,513.0,538.4057130795042,521.4115015483785,509.112928609752
2017-11-01,531.0,531.0,541.7237769095386,537.8588320226427,522.6340619476329
2017-12-01,574.2694253265715,574.2694253265715,545.0418409583511,574.4977069166523,578.7076427719719
2018-01-01,599.5,599.5,548.3599056024854,550.7756431632274,554.9482319062212
2018-02-01,455.7,455.7,551.6779705731414,471.3554723437383,478.2504331430516
2018-03-01,532.5,532.5,554.9960333515675,553.3728898839101,545.7143938292305
2018-04-01,521.7,521.7,558.3140972249596,530.6065763383358,515.6141273056788
2018-05-01,553.4,553.4,561.6321608879762,545.3868855039375,541.1808606886129
2018-06-01,566.3,566.3,564.9502249739165,570.5624824671531,576.9782361659916
2018-07-01,648.4,648.4,568.2682892026388,634.2149972089288,646.7214037092824
2018-08-01,652.1,652.1,571.5863546053037,636.5915644794171,655.6451376623403
2018-09-01,574.2,574.2,574.9044200136595,573.2004055889632,576.5321306912125
2018-10-01,548.1,548.1,578.2224842117721,560.3284348361442,548.970070672352
2018-11-01,564.7,564.7,581.5405479715214,576.849965826085,562.3421904020798
2018-12-01,611.4594538044255,611.4594538044255,584.858611929187,615.4035870488244,621.054130580359
2019-01-01,617.2,617.2,588.1766765341797,610.9485110744756,594.4554172541066
2019-02-01,489.1,489.1,591.4947411752702,499.31537609964494,508.1628977711635
2019-03-01,573.2,573.2,594.812803858079,580.0114248076866,580.695780785897
2019-04-01,553.4,553.4,598.1308677446324,564.1276689206478,549.6320171456173
2019-05-01,566.5,566.5,601.4489312866997,585.4893922606834,576.1518846845082
2019-06-01,598.7,598.7,604.7669949745292,601.7789549359804,609.5831757059308
2019-07-01,667.2,667.2,608.0850590927331,673.0671408065164,683.1436378358635
2019-08-01,677.0,677.0,611.4031241822236,673.0686836908078,689.02805604655
2019-09-01,602.0,602.0,614.7211893683025,602.1268485333949,604.3651627030206
2019-10-01,579.0,579.0,618.0392533873512,583.739293869499,575.338708421313
2019-11-01,591.2,591.2,621.3573170142304,601.3795921595956,590.0734976609281
2019-12-01,651.0579305770789,651.0579305770789,624.6753807734606,643.5393003106853,651.2356426976395
2020-01-01,580.5,580.5,627.9934453752003,644.8731659209486,624.9474898785056
2020-02-01,439.8,502.248707746422,631.311508876102,516.326623016937,523.3100076725586
2020-03-01,549.3,582.9510904914614,634.6295711615255,597.8392847802993,597.6050434670723
2020-04-01,557.2,557.2,637.9476346000653,579.1986987330588,564.3268735924895
2020-05-01,592.6,592.6,641.2656976054409,595.5817689284756,589.3345034690989
2020-06-01,635.0,635.0,644.5837610888747,620.632166105068,626.0459368721292
2020-07-01,682.4,692.9433998641332,647.9018251546746,693.3245777819295,705.6988122922111
2020-08-01,729.4,729.4,651.2198900344556,698.0868600365468,712.3545996689679
2020-09-01,645.4,645.4,654.5379554080391,629.4774450454597,629.5352193709509
2020-10-01,617.2,617.2,657.8560194804822,611.5531925674276,602.4159538617798
2020-11-01,646.7,646.7,661.1740830832696,628.4998367359904,619.7812163870723
2020-12-01,693.220828184113,693.220828184113,664.4921470761981,681.9394856205037,689.1249179880658
2021-01-01,732.4,732.4,667.810211712898,654.7319391442486,661.8808497842074
2021-02-01,526.4,550.39231074986,671.12827688397,567.1516592284149,572.612775063779
2021-03-01,663.1,663.1,674.446339293473,647.9472813817466,653.7861041721036
2021-04-01,636.1,636.1,677.7644033330084,630.7900892904072,621.5659088611949
2021-05-01,672.4,672.4,681.0824669207697,658.8311791629025,653.1480607961055
2021-06-01,703.3,703.3,684.400531,693.3035092681052,696.5618072073445
2021-07-01,775.8,775.8,687.7185954902332,759.3939604823915,784.1002325450188
2021-08-01,760.7,760.7,691.0366610113575,779.416419638153,792.1902230964374
2021-09-01,694.7,694.7,694.3547262580313,697.318356589868,691.4804817775008
2021-10-01,660.3,660.3,697.6727904717854,672.5453790338847,658.8772108464915
2021-11-01,671.8,671.8,700.9908541234965,691.9741556746076,674.7711357752505
2021-12-01,738.1142200392474,738.1142200392474,704.3089178971281,737.0445592681349,743.3476955881829
2022-01-01,723.2,723.2,707.6269826094756,735.2150182113987,711.9818685481016
2022-02-01,623.5,623.5,710.9450470501407,596.4120956081302,605.5570754515576
2022-03-01,694.4,694.4,714.263109955717,696.4836513566439,700.0770852065432
