data,Trabalho,Cópia tratada,MM3,MM6,MM12,MM centrada 2x12
2017-03-01,513.9,513.9,478.7685509073887,495.30783530791604,500.51225098729134,516.5122509872913
2017-04-01,484.7,484.7,478.0685509073887,494.59116864124934,502.82891765395806,518.978917653958
2017-05-01,496.8,496.8,498.4666666666667,492.85783530791605,504.8122509872914,520.9705843206245
2017-06-01,524.4,524.4,501.9666666666667,490.3676087870276,507.4705843206247,523.4175870790098
2017-07-01,607.2,607.2,542.8000000000001,510.4342754536944,512.0455843206247,529.5687565040614
2017-08-01,599.1,599.1,576.9,537.6833333333333,515.0455843206247,535.1018543073045
2017-09-01,531.7,531.7,579.3333333333334,540.65,517.978917653958,536.7141187772143
2017-10-01,513.0,513.0,547.9333333333334,545.3666666666667,519.978917653958,539.030785443881
2017-11-01,531.0,531.0,525.2333333333333,551.0666666666666,521.9622509872913,542.930785443881
2017-12-01,574.2694253265715,574.2694253265715,539.4231417755238,559.3782375544287,524.8729231707281,547.0349521105476
2018-01-01,599.5,599.5,568.2564751088572,558.0949042210952,534.2645898373947,550.4974521105476
2018-02-01,455.7,455.7,543.1564751088572,534.1949042210953,535.9391187772143,554.4224521105476
2018-03-01,532.5,532.5,529.2333333333333,534.3282375544286,537.4891187772142,558.4016187772143
2018-04-01,521.7,521.7,503.3,535.7782375544286,540.5724521105476,561.6349521105476
2018-05-01,553.4,553.4,535.8666666666667,539.5115708877619,545.2891187772143,564.5016187772143
2018-06-01,566.3,566.3,547.1333333333333,538.1833333333333,548.780785443881,567.4553699637916
2018-07-01,648.4,648.4,589.3666666666667,546.3333333333334,552.2141187772144,569.7424544837022
2018-08-01,652.1,652.1,622.2666666666665,579.0666666666667,556.630785443881,571.8716211503688
2018-09-01,574.2,574.2,624.9000000000001,586.0166666666667,560.1724521105476,574.9591211503688
2018-10-01,548.1,548.1,591.4666666666667,590.4166666666666,563.0974521105477,577.9757878170354
2018-11-01,564.7,564.7,562.3333333333334,592.3000000000001,565.905785443881,579.8424544837021
2018-12-01,611.4594538044255,611.4594538044255,574.7531512681419,599.826575634071,569.0049544837021,581.7382878170355
2019-01-01,617.2,617.2,597.7864846014752,594.626575634071,570.4799544837022,583.8716211503688
