data,valor_100_milhoes_kwh,valor_twh,publicacao,url,arquivo_fonte,trecho_original,status,observado_direto_twh,nota
2021-04-01,6361.0,636.1,2021-05-14,https://www.nea.gov.cn/2021-05/14/c_139944668.htm,fontes_html/d90183624fe1fbc0956a.html,4月份，全社会用电量6361亿千瓦时,observado_mensal,636.1,
2021-05-01,6724.0,672.4,2021-06-15,https://www.nea.gov.cn/2021-06/15/c_1310009338.htm,fontes_html/36c1402d86e5c07c53f2.html,5月份，我国经济持续稳定恢复，全社会用电量持续快速增长，达到6724亿千瓦时,observado_mensal,672.4,
2021-06-01,7033.0,703.3,2021-07-14,https://www.nea.gov.cn/2021-07/14/c_1310060966.htm,fontes_html/64a4404772c2227feb27.html,6月份，我国经济保持稳定恢复，全社会用电量持续增长，达到7033亿千瓦时,observado_mensal,703.3,
2021-07-01,7758.0,775.8,2021-08-12,https://www.nea.gov.cn/2021-08/12/c_1310122831.htm,fontes_html/2e6a734f7ca0269c3636.html,7月份，我国经济持续稳定恢复，全社会用电量持续增长，达到7758亿千瓦时,observado_mensal,775.8,
2021-08-01,7607.0,760.7,2021-09-14,https://www.nea.gov.cn/2021-09/14/c_1310187100.htm,fontes_html/3ee190b0608c2e4a6f60.html,8月份，我国经济持续稳定恢复，全社会用电量持续增长，达到7607亿千瓦时,observado_mensal,760.7,
2021-09-01,6947.0,694.7,2021-10-13,https://www.nea.gov.cn/2021-10/13/c_1310241476.htm,fontes_html/e1d624ab03890092ac5c.html,9月份，我国经济持续稳定恢复，全社会用电量持续增长，达到6947亿千瓦时,observado_mensal,694.7,
2021-10-01,6603.0,660.3,2021-11-12,https://www.nea.gov.cn/2021-11/12/c_1310307186.htm,fontes_html/8a480c3e051828774be7.html,10月份，我国经济持续稳定恢复，全社会用电量持续增长，达到6603亿千瓦时,observado_mensal,660.3,
2021-11-01,6718.0,671.8,2021-12-16,https://www.nea.gov.cn/2021-12/16/c_1310376351.htm,fontes_html/9a11543b878a7d74ccb8.html,11月份，我国经济持续稳定恢复，全社会用电量持续增长，达到6718亿千瓦时,observado_mensal,671.8,
2021-12-01,,,,,,,nao_localizado_mensal,,Valor mensal não localizado nos boletins coletados; não significa consumo zero nem inexistência em outras bases. Há total anual separado; diferença entre publicações pode conter revisões.
2022-01-01,7232.0,723.2,2022-03-15,https://www.nea.gov.cn/2022-03/15/c_1310514668.htm,fontes_html/832dddd13f5c38617783.html,1—2月，全社会用电量累计13467亿千瓦时 | 2月份，我国经济持续稳定恢复，全社会用电量持续增长，达到6235亿千瓦时,reconstituido_mesma_fonte,,"Janeiro = bimestre (13467) - fevereiro (6235), em 10^8 kWh; sujeito ao arredondamento da fonte."
2022-02-01,6235.0,623.5,2022-03-15,https://www.nea.gov.cn/2022-03/15/c_1310514668.htm,fontes_html/832dddd13f5c38617783.html,2月份，我国经济持续稳定恢复，全社会用电量持续增长，达到6235亿千瓦时,observado_mensal,623.5,
2022-03-01,6944.0,694.4,2022-04-14,https://www.nea.gov.cn/2022-04/14/c_1310557516.htm,fontes_html/ea9ecc91d6a38f0310f8.html,3月份，我国经济持续稳定恢复，全社会用电量持续增长，达到6944亿千瓦时,observado_mensal,694.4,
2022-04-01,6362.0,636.2,2022-05-16,https://www.nea.gov.cn/2022-05/16/c_1310594831.htm,fontes_html/a4d28ce035294546bac4.html,4月份，全社会用电量6362亿千瓦时,observado_mensal,636.2,
2022-05-01,6716.0,671.6,2022-06-15,https://www.nea.gov.cn/2022-06/15/c_1310623336.htm,fontes_html/604d9e87aa8541d6f943.html,5月份，全社会用电量6716亿千瓦时,observado_mensal,671.6,
2022-06-01,7451.0,745.1,2022-07-14,https://www.nea.gov.cn/2022-07/14/c_1310641690.htm,fontes_html/9b6731b21d572e2f4618.html,6月份，全社会用电量7451亿千瓦时,observado_mensal,745.1,
2022-07-01,8324.0,832.4,2022-08-12,https://www.nea.gov.cn/2022-08/12/c_1310651984.htm,fontes_html/22c81115c58eb488da81.html,7月份，全社会用电量8324亿千瓦时,observado_mensal,832.4,
2022-08-01,8520.0,852.0,2022-09-15,https://www.nea.gov.cn/2022-09/15/c_1310663044.htm,fontes_html/610653f8da6e36c3a17f.html,8月份，全社会用电量8520亿千瓦时,observado_mensal,852.0,
2022-09-01,7092.0,709.2,2022-10-13,https://www.nea.gov.cn/2022-10/13/c_1310669666.htm,fontes_html/8c9dae2c386d7b174a7f.html,9月份，全社会用电量7092亿千瓦时,observado_mensal,709.2,
2022-10-01,6834.0,683.4,2022-11-14,https://www.nea.gov.cn/2022-11/14/c_1310676596.htm,fontes_html/e3b79531a7da8e29b88e.html,10月份，全社会用电量6834亿千瓦时,observado_mensal,683.4,
2022-11-01,6828.0,682.8,2022-12-15,https://www.nea.gov.cn/2022-12/15/c_1310684089.htm,fontes_html/09c4f735dd26c0db538e.html,11月份，全社会用电量6828亿千瓦时,observado_mensal,682.8,
2022-12-01,,,,,,,nao_localizado_mensal,,Valor mensal não localizado nos boletins coletados; não significa consumo zero nem inexistência em outras bases. Há total anual separado; diferença entre publicações pode conter revisões.
2023-01-01,6884.0,688.4,2023-03-16,https://www.nea.gov.cn/2023-03/16/c_1310702980.htm,fontes_html/dc3748f0df09643cf344.html,1~2月，全社会用电量累计13834亿千瓦时 | 2月份，全社会用电量6950亿千瓦时,reconstituido_mesma_fonte,,"Janeiro = bimestre (13834) - fevereiro (6950), em 10^8 kWh; sujeito ao arredondamento da fonte."
2023-02-01,6950.0,695.0,2023-03-16,https://www.nea.gov.cn/2023-03/16/c_1310702980.htm,fontes_html/dc3748f0df09643cf344.html,2月份，全社会用电量6950亿千瓦时,observado_mensal,695.0,
2023-03-01,7369.0,736.9,2023-04-14,https://www.nea.gov.cn/2023-04/14/c_1310710757.htm,fontes_html/e7dcfddb299510e615b4.html,3月份，全社会用电量7369亿千瓦时,observado_mensal,736.9,
2023-04-01,6901.0,690.1,2023-05-15,https://www.nea.gov.cn/2023-05/15/c_1310718974.htm,fontes_html/ce6af6c845565b999678.html,4月份，全社会用电量6901亿千瓦时,observado_mensal,690.1,
